<<<<<<< HEAD:nflscraping/working_files/scores_prep.csv
,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away
113,2020,1,Cowboys,Rams,17,20,401220347,3,1,0
114,2020,1,Steelers,Giants,26,16,401220256,-10,0,1
115,2020,1,Titans,Broncos,16,14,401220217,-2,0,1
116,2021,1,Browns,Chiefs,29,33,401326314,4,1,0
117,2021,1,Dolphins,Patriots,17,16,401326313,-1,0,1
118,2021,1,Packers,Saints,3,38,401326319,35,1,0
119,2021,1,Broncos,Giants,27,13,401326320,-14,0,1
120,2021,1,Bears,Rams,14,34,401326323,20,1,0
121,2021,1,Ravens,Raiders,27,33,401326321,6,1,0
122,2017,3,Rams,49ers,41,39,400951568,-2,0,1
123,2017,3,Ravens,Jaguars,7,44,400951579,37,1,0
124,2017,3,Broncos,Bills,16,26,400951583,10,1,0
125,2017,3,Steelers,Bears,17,23,400951590,6,1,0
126,2017,3,Falcons,Lions,30,26,400951594,-4,0,1
127,2017,3,Browns,Colts,28,31,400951599,3,1,0
128,2017,3,Buccaneers,Vikings,17,34,400951604,17,1,0
129,2017,3,Texans,Patriots,33,36,400951607,3,1,0
130,2017,3,Dolphins,Jets,6,20,400951611,14,1,0
131,2017,3,Giants,Eagles,24,27,400951616,3,1,0
132,2017,3,Saints,Panthers,34,13,400951587,-21,0,1
133,2017,3,Seahawks,Titans,27,33,400951623,6,1,0
134,2017,3,Bengals,Packers,24,27,400951627,3,1,0
135,2017,3,Chiefs,Chargers,24,10,400951634,-14,0,1
136,2017,3,Raiders,Washington,10,27,400951644,17,1,0
137,2017,3,Cowboys,Cardinals,28,17,400951668,-11,0,1
138,2021,3,Panthers,Texans,24,9,401326363,-15,0,1
139,2021,3,Washington,Bills,21,43,401326364,22,1,0
140,2021,3,Bears,Browns,6,26,401326365,20,1,0
141,2021,3,Ravens,Lions,19,17,401326366,-2,0,1
142,2020,2,Bengals,Browns,30,35,401220163,5,1,0
143,2020,3,Dolphins,Jaguars,31,13,401220201,-18,0,1
144,2021,3,Colts,Titans,16,25,401326372,9,1,0
145,2021,3,Chargers,Chiefs,30,24,401326368,-6,0,1
146,2021,3,Saints,Patriots,28,13,401326369,-15,0,1
147,2021,3,Falcons,Giants,17,14,401326370,-3,0,1
148,2020,2,Giants,Bears,13,17,401220281,4,1,0
149,2020,2,Falcons,Cowboys,39,40,401220249,1,1,0
150,2020,2,Lions,Packers,21,42,401220291,21,1,0
151,2019,3,Titans,Jaguars,7,20,401127859,13,1,0
152,2020,3,Bears,Falcons,30,26,401220309,-4,0,1
153,2020,3,Rams,Bills,32,35,401220119,3,1,0
154,2020,3,Washington,Browns,20,34,401220168,14,1,0
155,2021,3,Bengals,Steelers,24,10,401326371,-14,0,1
156,2021,3,Cardinals,Jaguars,31,19,401326367,-12,0,1
157,2021,3,Jets,Broncos,0,26,401326373,26,1,0
158,2018,3,Jets,Browns,17,21,401030775,4,1,0
159,2021,2,Giants,Washington,29,30,401326127,1,1,0
160,2020,2,Jaguars,Titans,30,33,401220204,3,1,0
161,2020,2,Vikings,Colts,11,28,401220192,17,1,0
162,2020,2,Bills,Dolphins,31,28,401220122,-3,0,1
163,2019,3,Bengals,Bills,17,21,401127915,4,1,0
164,2019,3,Dolphins,Cowboys,6,31,401127921,25,1,0
165,2019,3,Broncos,Packers,16,27,401127925,11,1,0
166,2020,3,Titans,Vikings,31,30,401220304,-1,0,1
167,2020,3,Raiders,Patriots,20,36,401220134,16,1,0
168,2020,3,49ers,Giants,36,9,401220254,-27,0,1
169,2021,3,Dolphins,Raiders,28,31,401326374,3,1,0
170,2021,3,Buccaneers,Rams,24,34,401326375,10,1,0
171,2021,3,Seahawks,Vikings,17,30,401326376,13,1,0
172,2018,3,Saints,Falcons,43,37,401030777,-6,0,1
173,2018,3,49ers,Chiefs,27,38,401030795,11,1,0
174,2018,3,Raiders,Dolphins,20,28,401030787,8,1,0
175,2021,2,Bengals,Bears,17,20,401326129,3,1,0
176,2021,2,Texans,Browns,21,31,401326130,10,1,0
177,2021,2,Rams,Colts,27,24,401326131,-3,0,1
178,2020,2,49ers,Jets,31,13,401220144,-18,0,1
179,2020,2,Rams,Eagles,37,19,401220261,-18,0,1
180,2020,2,Broncos,Steelers,21,26,401220177,5,1,0
181,2017,4,Bears,Packers,14,35,400951678,21,1,0
182,2019,3,Falcons,Colts,24,27,401127929,3,1,0
183,2019,3,Ravens,Chiefs,28,33,401127953,5,1,0
184,2019,3,Raiders,Vikings,14,34,401127956,20,1,0
185,2019,3,Jets,Patriots,14,30,401127861,16,1,0
186,2020,3,Texans,Steelers,21,28,401220173,7,1,0
187,2020,3,Jets,Colts,7,36,401220193,29,1,0
188,2021,3,Packers,49ers,30,28,401326377,-2,0,1
189,2021,3,Eagles,Cowboys,21,41,401326378,20,1,0
190,2018,3,Bills,Vikings,27,6,401030784,-21,0,1
191,2018,3,Colts,Eagles,16,20,401030782,4,1,0
192,2018,3,Packers,Washington,17,31,401030781,14,1,0
193,2021,2,Bills,Dolphins,35,0,401326353,-35,0,1
194,2021,2,Patriots,Jets,25,6,401326354,-19,0,1
195,2021,2,49ers,Eagles,17,11,401326355,-6,0,1
196,2020,2,Panthers,Buccaneers,17,31,401220329,14,1,0
197,2020,2,Washington,Cardinals,15,30,401220340,15,1,0
198,2020,2,Chiefs,Chargers,23,20,401220235,-3,0,1
199,2017,4,Saints,Dolphins,20,0,400950241,-20,0,1
200,2017,4,Bills,Falcons,23,17,400951685,-6,0,1
201,2017,4,Bengals,Browns,31,7,400951712,-24,0,1
202,2019,3,Lions,Eagles,27,24,401127959,-3,0,1
203,2019,3,Panthers,Cardinals,38,20,401127962,-18,0,1
204,2019,3,Giants,Buccaneers,32,31,401127966,-1,0,1
205,2020,3,Panthers,Chargers,21,16,401220240,-5,0,1
206,2020,3,Buccaneers,Broncos,28,10,401220216,-18,0,1
207,2020,3,Lions,Cardinals,26,23,401220343,-3,0,1
208,2018,3,Bengals,Panthers,21,31,401030790,10,1,0
209,2018,3,Titans,Jaguars,9,6,401030794,-3,0,1
210,2018,3,Broncos,Ravens,14,27,401030788,13,1,0
211,2021,2,Raiders,Steelers,26,17,401326356,-9,0,1
212,2021,2,Saints,Panthers,7,26,401326128,19,1,0
213,2021,2,Broncos,Jaguars,23,13,401326132,-10,0,1
214,2020,2,Ravens,Texans,33,16,401220181,-17,0,1
215,2020,2,Patriots,Seahawks,30,35,401220365,5,1,0
216,2020,2,Saints,Raiders,24,34,401220231,10,1,0
217,2017,4,Rams,Cowboys,35,30,400951716,-5,0,1
218,2017,4,Lions,Vikings,14,7,400951724,-7,0,1
219,2017,4,Panthers,Patriots,33,30,400951727,-3,0,1
220,2019,3,Texans,Chargers,27,20,401127970,-7,0,1
221,2019,3,Steelers,49ers,20,24,401127998,4,1,0
222,2019,3,Saints,Seahawks,33,27,401127993,-6,0,1
223,2020,3,Cowboys,Seahawks,31,38,401220363,7,1,0
224,2020,3,Packers,Saints,37,30,401220323,-7,0,1
225,2020,3,Chiefs,Ravens,34,20,401220153,-14,0,1
226,2018,3,Giants,Texans,27,22,401030791,-5,0,1
227,2018,3,Chargers,Rams,23,35,401030798,12,1,0
228,2018,3,Bears,Cardinals,16,14,401030801,-2,0,1
229,2021,2,Vikings,Cardinals,33,34,401326357,1,1,0
230,2021,2,Falcons,Buccaneers,25,48,401326358,23,1,0
231,2021,2,Cowboys,Chargers,20,17,401326359,-3,0,1
232,2017,4,Jaguars,Jets,20,23,400951730,3,1,0
233,2017,4,Steelers,Ravens,26,9,400951708,-17,0,1
234,2017,4,Titans,Texans,14,57,400951720,43,1,0
235,2019,3,Rams,Browns,20,13,401128125,-7,0,1
236,2019,3,Bears,Washington,31,15,401128003,-16,0,1
237,2018,3,Cowboys,Seahawks,13,24,401030799,11,1,0
238,2018,3,Patriots,Lions,10,26,401030802,16,1,0
239,2018,3,Steelers,Buccaneers,30,27,401030805,-3,0,1
240,2021,2,Titans,Seahawks,33,30,401326360,-3,0,1
241,2021,2,Chiefs,Ravens,35,36,401326361,1,1,0
242,2021,2,Lions,Packers,17,35,401326362,18,1,0
243,2017,4,49ers,Cardinals,15,18,400951735,3,1,0
244,2017,4,Eagles,Chargers,26,24,400951738,-2,0,1
245,2017,4,Giants,Buccaneers,23,25,400951742,2,1,0
246,2017,4,Raiders,Broncos,10,16,400951744,6,1,0
247,2017,4,Colts,Seahawks,18,46,400951747,28,1,0
248,2017,4,Washington,Chiefs,20,29,400951752,9,1,0
249,2020,5,Buccaneers,Bears,19,20,401220278,1,1,0
250,2020,5,Panthers,Falcons,23,16,401220306,-7,0,1
251,2020,5,Raiders,Chiefs,40,32,401220219,-8,0,1
252,2020,5,Cardinals,Jets,30,10,401220143,-20,0,1
253,2020,5,Eagles,Steelers,29,38,401220175,9,1,0
254,2020,5,Rams,Washington,30,10,401220269,-20,0,1
255,2020,5,Bengals,Ravens,3,27,401220146,24,1,0
256,2020,5,Jaguars,Texans,14,30,401220179,16,1,0
257,2020,5,Dolphins,49ers,43,17,401220358,-26,0,1
258,2020,5,Colts,Browns,23,32,401220166,9,1,0
259,2020,5,Giants,Cowboys,34,37,401220242,3,1,0
260,2020,5,Vikings,Seahawks,26,27,401220367,1,1,0
261,2020,5,Chargers,Saints,27,30,401220326,3,1,0
262,2020,5,Bills,Titans,16,42,401220209,26,1,0
263,2018,4,Vikings,Rams,31,38,401030839,7,1,0
264,2018,4,Bengals,Falcons,37,36,401030847,-1,0,1
265,2018,4,Buccaneers,Bears,10,48,401030846,38,1,0
266,2018,4,Lions,Cowboys,24,26,401030845,2,1,0
267,2018,4,Bills,Packers,0,22,401030844,22,1,0
268,2018,4,Eagles,Titans,23,26,401030842,3,1,0
269,2018,4,Texans,Colts,37,34,401030843,-3,0,1
270,2018,4,Dolphins,Patriots,7,38,401030841,31,1,0
271,2018,4,Jets,Jaguars,12,31,401030840,19,1,0
272,2018,4,Browns,Raiders,42,45,401030930,3,1,0
273,2018,4,Seahawks,Cardinals,20,17,401030848,-3,0,1
274,2018,4,Saints,Giants,33,18,401030931,-15,0,1
275,2018,4,49ers,Chargers,27,29,401030932,2,1,0
276,2018,4,Ravens,Steelers,26,14,401030933,-12,0,1
277,2018,4,Chiefs,Broncos,27,23,401030934,-4,0,1
278,2017,5,Patriots,Buccaneers,19,14,400951552,-5,0,1
279,2017,5,Bills,Bengals,16,20,400951554,4,1,0
280,2017,5,Jets,Browns,17,14,400951556,-3,0,1
281,2017,5,Panthers,Lions,27,24,400951558,-3,0,1
282,2017,5,49ers,Colts,23,26,400951562,3,1,0
283,2017,5,Titans,Dolphins,10,16,400951646,6,1,0
284,2017,5,Chargers,Giants,27,22,400951650,-5,0,1
285,2017,5,Cardinals,Eagles,7,34,400951651,27,1,0
286,2017,5,Jaguars,Steelers,30,9,400951655,-21,0,1
287,2017,5,Ravens,Raiders,30,17,400951659,-13,0,1
288,2017,5,Seahawks,Rams,16,10,400951657,-6,0,1
289,2020,4,Broncos,Jets,37,28,401220141,-9,0,1
290,2017,5,Packers,Cowboys,35,31,400951661,-4,0,1
291,2017,5,Chiefs,Texans,42,34,400951664,-8,0,1
292,2017,5,Vikings,Bears,20,17,400951691,-3,0,1
293,2018,5,Colts,Patriots,24,38,401030697,14,1,0
294,2020,4,Jaguars,Bengals,25,33,401220157,8,1,0
295,2020,4,Browns,Cowboys,49,38,401220247,-11,0,1
296,2020,4,Saints,Lions,35,29,401220285,-6,0,1
297,2018,5,Titans,Bills,12,13,401030702,1,1,0
298,2018,5,Dolphins,Bengals,17,27,401030785,10,1,0
299,2018,5,Ravens,Browns,9,12,401030770,3,1,0
300,2021,4,Jaguars,Bengals,21,24,401326379,3,1,0
301,2020,4,Seahawks,Dolphins,31,23,401220128,-8,0,1
302,2020,4,Chargers,Buccaneers,31,38,401220334,7,1,0
303,2020,4,Ravens,Washington,31,17,401220271,-14,0,1
304,2019,4,Eagles,Packers,34,27,401127863,-7,0,1
305,2018,5,Packers,Lions,23,31,401030745,8,1,0
306,2018,5,Jaguars,Chiefs,14,30,401030741,16,1,0
307,2018,5,Broncos,Jets,16,34,401030734,18,1,0
308,2021,4,Washington,Falcons,34,30,401326380,-4,0,1
309,2021,4,Texans,Bills,0,40,401326381,40,1,0
310,2021,4,Lions,Bears,14,24,401326382,10,1,0
311,2019,5,Rams,Seahawks,29,30,401127927,1,1,0
312,2020,4,Cardinals,Panthers,21,31,401220320,10,1,0
313,2020,4,Vikings,Texans,31,23,401220184,-8,0,1
314,2020,4,Giants,Rams,9,17,401220348,8,1,0
315,2019,4,Titans,Falcons,24,10,401128016,-14,0,1
316,2019,4,Patriots,Bills,16,10,401127866,-6,0,1
317,2019,4,Chiefs,Lions,34,30,401128023,-4,0,1
318,2018,5,Falcons,Steelers,17,41,401030709,24,1,0
319,2018,5,Giants,Panthers,31,33,401030778,2,1,0
320,2018,5,Raiders,Chargers,10,26,401030793,16,1,0
321,2021,4,Panthers,Cowboys,28,36,401326383,8,1,0
322,2021,4,Colts,Dolphins,27,17,401326384,-10,0,1
323,2021,4,Browns,Vikings,14,7,401326385,-7,0,1
324,2019,5,Cardinals,Bengals,26,23,401127958,-3,0,1
325,2019,5,Bills,Titans,14,7,401128014,-7,0,1
326,2019,5,Bears,Raiders,21,24,401128001,3,1,0
327,2020,4,Colts,Bears,19,11,401220280,-8,0,1
328,2020,4,Bills,Raiders,30,23,401220229,-7,0,1
329,2020,4,Eagles,49ers,25,20,401220355,-5,0,1
330,2019,4,Raiders,Colts,31,24,401128030,-7,0,1
331,2019,4,Chargers,Dolphins,30,10,401128055,-20,0,1
332,2019,4,Washington,Giants,3,24,401128059,21,1,0
333,2018,5,Vikings,Eagles,23,21,401030803,-2,0,1
334,2018,5,Cardinals,49ers,28,18,401030797,-10,0,1
335,2018,5,Rams,Seahawks,33,31,401030808,-2,0,1
336,2018,5,Cowboys,Texans,16,19,401030831,3,1,0
337,2021,4,Giants,Saints,27,21,401326386,-6,0,1
338,2021,4,Titans,Jets,24,27,401326387,3,1,0
339,2021,4,Chiefs,Eagles,42,30,401326388,-12,0,1
340,2019,5,Buccaneers,Saints,24,31,401127965,7,1,0
341,2019,5,Vikings,Giants,28,10,401127971,-18,0,1
342,2019,5,Jets,Eagles,6,31,401128006,25,1,0
343,2020,4,Patriots,Chiefs,10,26,401220221,16,1,0
344,2020,4,Falcons,Packers,16,30,401220293,14,1,0
345,2019,4,Browns,Ravens,40,25,401128018,-15,0,1
346,2019,4,Panthers,Texans,16,10,401128026,-6,0,1
347,2019,4,Buccaneers,Rams,55,40,401128069,-15,0,1
348,2018,5,Washington,Saints,19,43,401030834,24,1,0
349,2021,4,Cardinals,Rams,37,20,401326389,-17,0,1
350,2021,4,Seahawks,49ers,28,21,401326390,-7,0,1
351,2021,4,Ravens,Broncos,23,7,401326391,-16,0,1
352,2019,5,Ravens,Steelers,26,23,401128011,-3,0,1
353,2019,5,Patriots,Washington,33,7,401127864,-26,0,1
354,2019,5,Jaguars,Panthers,27,34,401127932,7,1,0
355,2019,4,Seahawks,Cardinals,27,10,401128064,-17,0,1
356,2019,4,Vikings,Bears,6,16,401128093,10,1,0
357,2019,4,Jaguars,Broncos,26,24,401128097,-2,0,1
358,2019,4,Cowboys,Saints,10,12,401128102,2,1,0
359,2021,4,Steelers,Packers,17,27,401326392,10,1,0
360,2021,4,Buccaneers,Patriots,19,17,401326393,-2,0,1
361,2021,4,Raiders,Chargers,14,28,401326394,14,1,0
362,2019,5,Falcons,Texans,32,53,401127960,21,1,0
363,2019,5,Broncos,Chargers,20,13,401128019,-7,0,1
364,2019,5,Packers,Cowboys,34,24,401128029,-10,0,1
365,2019,4,Bengals,Steelers,3,27,401128109,24,1,0
366,2019,5,Colts,Chiefs,19,13,401128053,-6,0,1
367,2019,5,Browns,49ers,3,31,401128062,28,1,0
368,2018,7,Broncos,Cardinals,45,10,401030800,-35,0,1
369,2018,7,Titans,Chargers,19,20,401030792,1,1,0
370,2018,7,Patriots,Bears,38,31,401030832,-7,0,1
371,2018,7,Bills,Colts,5,37,401030833,32,1,0
372,2018,7,Lions,Dolphins,32,21,401030830,-11,0,1
373,2018,7,Vikings,Jets,37,17,401030809,-20,0,1
374,2018,7,Panthers,Eagles,21,17,401030807,-4,0,1
375,2018,7,Browns,Buccaneers,23,26,401030806,3,1,0
376,2018,7,Texans,Jaguars,20,7,401030835,-13,0,1
377,2018,7,Saints,Ravens,24,23,401030836,-1,0,1
378,2018,7,Rams,49ers,39,10,401030838,-29,0,1
379,2018,7,Cowboys,Washington,17,20,401030837,3,1,0
380,2018,7,Bengals,Chiefs,10,45,401030804,35,1,0
381,2018,7,Giants,Falcons,20,23,401030796,3,1,0
382,2021,5,Rams,Seahawks,26,17,401326395,-9,0,1
383,2021,5,Jets,Falcons,20,27,401326324,7,1,0
384,2021,5,Packers,Bengals,25,22,401326397,-3,0,1
385,2021,5,Lions,Vikings,17,19,401326400,2,1,0
386,2017,6,Eagles,Panthers,28,23,400951695,-5,0,1
387,2021,5,Broncos,Steelers,19,27,401326401,8,1,0
388,2021,5,Dolphins,Buccaneers,17,45,401326402,28,1,0
389,2021,5,Saints,Washington,33,22,401326403,-11,0,1
390,2017,6,Dolphins,Falcons,20,17,400951697,-3,0,1
391,2017,6,Packers,Vikings,10,23,400951702,13,1,0
392,2017,6,Lions,Saints,38,52,400951704,14,1,0
393,2021,5,Eagles,Panthers,21,18,401326396,-3,0,1
394,2021,5,Titans,Jaguars,37,19,401326399,-18,0,1
395,2021,5,Patriots,Texans,25,22,401326398,-3,0,1
396,2017,6,Patriots,Jets,24,17,400951766,-7,0,1
397,2017,6,49ers,Washington,24,26,400951767,2,1,0
398,2017,6,Bears,Ravens,27,24,400951699,-3,0,1
399,2021,5,Bears,Raiders,20,9,401326405,-11,0,1
400,2021,5,Browns,Chargers,42,47,401326404,5,1,0
401,2021,5,Giants,Cowboys,20,44,401326407,24,1,0
402,2017,6,Browns,Texans,17,33,400951700,16,1,0
403,2017,6,Buccaneers,Cardinals,33,38,400951770,5,1,0
404,2017,6,Rams,Jaguars,27,17,400951773,-10,0,1
405,2021,5,49ers,Cardinals,10,17,401326406,7,1,0
406,2021,5,Bills,Chiefs,38,20,401326408,-18,0,1
407,2021,5,Colts,Ravens,25,31,401326409,6,1,0
408,2017,6,Steelers,Chiefs,19,13,400951776,-6,0,1
409,2017,6,Chargers,Raiders,17,16,400951779,-1,0,1
410,2017,6,Giants,Broncos,23,10,400951782,-13,0,1
411,2017,6,Colts,Titans,22,36,400951785,14,1,0
412,2018,6,Eagles,Giants,34,13,401030692,-21,0,1
413,2018,6,Buccaneers,Falcons,29,34,401030695,5,1,0
414,2018,6,Steelers,Bengals,28,21,401030743,-7,0,1
415,2018,6,Chargers,Browns,38,14,401030746,-24,0,1
416,2018,6,Seahawks,Raiders,27,3,401030706,-24,0,1
417,2018,6,Bears,Dolphins,28,31,401030771,3,1,0
418,2018,6,Cardinals,Vikings,17,27,401030742,10,1,0
419,2018,6,Colts,Jets,34,42,401030737,8,1,0
420,2018,6,Panthers,Washington,17,23,401030701,6,1,0
421,2018,6,Bills,Texans,13,20,401030748,7,1,0
422,2020,6,Texans,Titans,36,42,401220202,6,1,0
423,2018,6,Rams,Broncos,23,20,401030773,-3,0,1
424,2018,6,Jaguars,Cowboys,7,40,401030776,33,1,0
425,2018,6,Ravens,Titans,21,0,401030774,-21,0,1
426,2020,6,Bengals,Colts,27,31,401220190,4,1,0
427,2020,6,Falcons,Vikings,40,23,401220301,-17,0,1
428,2020,6,Broncos,Patriots,18,12,401220133,-6,0,1
429,2018,6,Chiefs,Patriots,40,43,401030779,3,1,0
430,2018,6,49ers,Packers,30,33,401030783,3,1,0
431,2019,6,Giants,Patriots,14,35,401127917,21,1,0
432,2017,7,Chiefs,Raiders,30,31,400951571,1,1,0
433,2020,6,Washington,Giants,19,20,401220252,1,1,0
434,2020,6,Ravens,Eagles,30,28,401220263,-2,0,1
435,2020,6,Browns,Steelers,7,38,401220172,31,1,0
436,2019,6,Panthers,Buccaneers,37,26,401128096,-11,0,1
437,2019,6,Seahawks,Browns,32,28,401128111,-4,0,1
438,2019,6,Texans,Chiefs,31,24,401128119,-7,0,1
439,2017,7,Buccaneers,Bills,27,30,400951575,3,1,0
440,2017,7,Panthers,Bears,3,17,400951578,14,1,0
441,2017,7,Titans,Browns,12,9,400951582,-3,0,1
442,2021,6,Buccaneers,Eagles,28,22,401326410,-6,0,1
443,2020,6,Bears,Panthers,23,16,401220317,-7,0,1
444,2020,6,Lions,Jaguars,34,16,401220200,-18,0,1
